id,slug,vendor,name,kind,purpose,ua_token,ua_pattern,robots_token,ip_list_url,docs_url,first_documented,first_seen_here,last_seen_here,status,notes,created_at,updated_at
6,claude-searchbot,Anthropic,Claude-SearchBot,search_bot,search,Claude-SearchBot,Claude-SearchBot,Claude-SearchBot,https://claude.com/crawling/bots.json,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-content-from-the-web-and-how-can-site-owners-block-the-crawler,2026-09-13,,,active,Navigates the web to improve Claude search result quality.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
7,claude-user,Anthropic,Claude-User,fetcher,user_fetch,Claude-User,Claude-User,Claude-User,https://claude.com/crawling/bots.json,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-content-from-the-web-and-how-can-site-owners-block-the-crawler,2026-09-13,,,active,Retrieves a page when a Claude user directs Claude to access that URL.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
5,claudebot,Anthropic,ClaudeBot,crawler,training,ClaudeBot,ClaudeBot,ClaudeBot,https://claude.com/crawling/bots.json,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-content-from-the-web-and-how-can-site-owners-block-the-crawler,2026-09-13,,,active,Collects web content that may contribute to Anthropic model training.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
14,applebot,Apple,Applebot,crawler,search,Applebot,Applebot(?!-Extended),Applebot,https://search.developer.apple.com/applebot.json,https://support.apple.com/en-us/119829,2026-09-13,,,active,"Crawls the web to power Siri, Spotlight and Safari search features.",2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
15,applebot-extended,Apple,Applebot-Extended,policy_token,training,,,Applebot-Extended,,https://support.apple.com/en-us/119829,2026-09-13,,,active,"Robots.txt token that controls whether content already crawled by Applebot may be used to train Apple foundation models. Vendor documentation states Applebot-Extended does not crawl web pages: it is a policy token, not an observable crawler.",2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
12,google-extended,Google,Google-Extended,policy_token,training,,,Google-Extended,,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers,2026-09-13,,,active,"Robots.txt token that controls whether content already crawled by Googlebot may be used to train Gemini models and ground Gemini features. Vendor documentation states Google-Extended is not a separate crawler and uses no distinct user agent string: it cannot be observed directly in request logs, only declared for in robots.txt.",2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
11,googleother,Google,GoogleOther,crawler,mixed,GoogleOther,GoogleOther,GoogleOther,https://developers.google.com/static/crawling/ipranges/common-crawlers.json,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers,2026-09-13,,,active,Generic crawler used by various Google product teams to fetch publicly accessible content outside Search.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
10,googlebot,Google,Googlebot,crawler,search,Googlebot,Googlebot,Googlebot,https://developers.google.com/static/crawling/ipranges/common-crawlers.json,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers,2026-09-13,,,active,"Common crawler for Google Search, Discover, Images, Video and News.",2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
13,bingbot,Microsoft,Bingbot,crawler,search,bingbot,bingbot,bingbot,https://www.bing.com/toolbox/bingbot.json,https://www.bing.com/webmasters/help/which-crawlers-does-bing-use-8c184ec0,2026-09-13,,,active,"Crawls the web for Bing Search and, per Microsoft, feeds Copilot and Bing Chat surfaces. Microsoft documents a separate opt-out from generative-AI training use via the noarchive robots meta tag or X-Robots-Tag header rather than a distinct Copilot user agent; no Copilot-specific crawler token is named in Microsoft's public documentation as of 2026-09-13.",2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
3,chatgpt-user,OpenAI,ChatGPT-User,fetcher,user_fetch,ChatGPT-User,ChatGPT-User,ChatGPT-User,https://openai.com/chatgpt-user.json,https://platform.openai.com/docs/bots,2026-09-13,,,active,Fetches a page only when a ChatGPT or Custom GPT user directs it to that URL. Vendor documentation states robots.txt rules may not apply to this fetcher.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
1,gptbot,OpenAI,GPTBot,crawler,training,GPTBot,GPTBot,GPTBot,https://openai.com/gptbot.json,https://platform.openai.com/docs/bots,2026-09-13,,,active,Crawls public web content for OpenAI model training.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
4,oai-adsbot,OpenAI,OAI-AdsBot,ads_bot,ads,OAI-AdsBot,OAI-AdsBot,OAI-AdsBot,https://openai.com/adsbot.json,https://platform.openai.com/docs/bots,2026-09-13,,,active,Checks ad landing page quality and relevance for ChatGPT ads. Vendor documentation states it only visits pages submitted for ads review.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
2,oai-searchbot,OpenAI,OAI-SearchBot,search_bot,search,OAI-SearchBot,OAI-SearchBot,OAI-SearchBot,https://openai.com/searchbot.json,https://platform.openai.com/docs/bots,2026-09-13,,,active,Surfaces web pages in ChatGPT search results.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
9,perplexity-user,Perplexity,Perplexity-User,fetcher,user_fetch,Perplexity-User,Perplexity-User,Perplexity-User,https://www.perplexity.ai/perplexity-user.json,https://docs.perplexity.ai/docs/resources/perplexity-crawlers,2026-09-13,,,active,Fetches a page when a Perplexity user asks a question that requires that page. Vendor documentation states this fetcher generally ignores robots.txt rules.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
8,perplexitybot,Perplexity,PerplexityBot,search_bot,search,PerplexityBot,PerplexityBot,PerplexityBot,https://www.perplexity.ai/perplexitybot.json,https://docs.perplexity.ai/docs/resources/perplexity-crawlers,2026-09-13,,,active,Surfaces and links websites in Perplexity search results.,2026-09-13T00:00:00Z,2026-09-13T00:00:00Z
