id,ts_first,ts_last,text_norm,count,sources,matched_claim_ids,gap
7,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,why wasn t a specific page cited by an ai answer instead of a competitor s page,3,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt"", ""engine:copilot""]",[],1
8,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,which single factor cost a page the citation authority freshnes formatting entity recognition crawl recency embedding similarity safety filtering or personalization,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:copilot""]",[],1
9,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,if a specific on page change is made such as a new heading faq schema or new backlink will the page be cited next time,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
10,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,what percentage of citation probability com from traditional google or bing ranking,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:copilot""]",[],1
11,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,how much do backlink brand mention structured data review forum discussion publisher reputation and content freshnes each matter to being cited,3,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt"", ""engine:copilot""]",[],1
12,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,what is the exact source ranking or citation formula used by chatgpt search perplexity gemini or claude,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:copilot""]",[],1
13,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,does ranking in the top three organic search result guarantee inclusion in an ai generated answer,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
14,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,does schema markup directly increase ai citation or does it merely make content easier to extract,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt""]",[],1
15,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,did a named ai crawler actually crawl a given page and was that page used in a future model s training,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
16,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,did a search oriented crawler such as oai searchbot index a specific url,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
17,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,when did an ai platform last refresh its cached copy of a page,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
18,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,which exact pag of a site are currently in an ai engine s retrieval index,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
19,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,was a page excluded from an ai answer because of robot txt a cdn or waf challenge a rendering failure duplicate content handling a quality assessment or lack of query relevance,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
20,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,is a user agent string seen in a server log authentic spoofed or a third party proxy,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
21,2026-09-15T01:36:40Z,2026-09-15T02:19:35Z,will a compliant named ai crawler alway avoid urls disallowed in robot txt,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:claude""]",[],1
22,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,does robot txt provide any legal protection against content being copied or used for training,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
23,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,does blocking a training oriented crawler prevent all future model exposure to that content,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:copilot""]",[],1
24,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,does blocking an ai crawler in robot txt prevent a page from being cited by that engine,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt""]",[],1
25,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,what does an optimal ai focused robot txt file look like for a busines that want citation but not training use,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt""]",[],1
26,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,can robot txt cleanly separate allow this page for search or citation from block it for training and does that distinction hold acros every major ai platform,5,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt"", ""engine:claude"", ""engine:gemini"", ""engine:copilot""]",[],1
27,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,which exact topic will generate ai search traffic for a given niche in the near future,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
28,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,how many cited fact expert quot faqs tabl or product spec does a page need to be cited by an ai engine,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
29,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,does a shorter or longer page for example 40 150 or 2 000 word maximize the likelihood of being cited,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
30,2026-09-15T01:36:40Z,2026-09-15T02:19:35Z,does publishing an llms txt file actually help a site get cited by chatgpt perplexity gemini or claude,3,"[""prompt_batch"", ""engine:perplexity"", ""engine:claude"", ""engine:gemini""]",[],1
31,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,should content be written specifically for ai system and would that reduce conventional search performance,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:copilot""]",[],1
32,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,does first party original research outrank an authoritative secondary source for citation and does that differ by engine,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
33,2026-09-15T01:36:40Z,2026-09-15T02:19:35Z,how can a local service busines get cited by an ai engine instead of a directory review platform or national publisher,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:claude""]",[],1
34,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,how can ai citation performance be measured accurately given there is no equivalent of a search console report for citation,5,"[""prompt_batch"", ""engine:perplexity"", ""engine:chatgpt"", ""engine:claude"", ""engine:gemini"", ""engine:copilot""]",[],1
35,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,is a given url currently present in an ai platform s retrieval index or corpu,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
36,2026-09-15T01:36:40Z,2026-09-15T01:36:40Z,for which prompt was a given page a retrieval candidate,1,"[""prompt_batch"", ""engine:perplexity""]",[],1
37,2026-09-15T01:36:40Z,2026-09-15T02:19:35Z,did an ai generated answer rely materially on a page s content even though that page was not cited,2,"[""prompt_batch"", ""engine:perplexity"", ""engine:gemini""]",[],1
38,2026-09-15T01:36:40Z,2026-09-15T10:37:03Z,was a specific document used in a model s training fine tuning or evaluation,4,"[""prompt_batch"", ""engine:perplexity"", ""engine:claude"", ""engine:gemini"", ""engine:copilot""]",[],1
